id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	coupon	partner_coupon_download	interest_free_event	point	installation_costs	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	class	update_time
1JP2016464 	[셀프특가!!] 비틀_2박3일 자유여행	135000	135000		http://www.ntabi.kr/Product/Views?k=1JP2016464	http://www.ntabi.kr/Product/Views?k=1JP2016464	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP201646420169271049306347.jpg		일본	큐슈	자유여행	비틀	50001645												엔타비				후쿠오카ㅣ규슈ㅣ하카타ㅣ텐진ㅣ유류할증료 변경가능ㅣ성인1인기준요금						후쿠오카ㅣ비틀ㅣ엔타비ㅣ캐널시티ㅣ하카타ㅣ텐진ㅣ왕복승선권ㅣ쾌속선						0			 후쿠오카관광자료 ^ 돈키호테할인쿠폰					I	2018-02-08 16:50:30
1JP2016465	[셀프특가!!] 비틀_3박4일 자유여행	135000	135000		http://www.ntabi.kr/Product/Views?k=1JP2016465	http://www.ntabi.kr/Product/Views?k=1JP2016465	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20164652016927119198034.jpg		일본	큐슈	자유여행	비틀	50001645												엔타비				후쿠오카ㅣ규슈ㅣ하카타ㅣ텐진ㅣ유류할증료 변경가능ㅣ성인1인기준요금						후쿠오카ㅣ비틀ㅣ엔타비ㅣ캐널시티ㅣ하카타ㅣ텐진ㅣ왕복승선권ㅣ쾌속선						0			 후쿠오카관광자료 ^ 돈키호테할인쿠폰					I	2018-02-08 16:50:30
1JP2016150 	[오후출발-오전리턴] 비틀_3박4일 왕복승선권	109000	109000		http://www.ntabi.kr/Product/Views?k=1JP2016150	http://www.ntabi.kr/Product/Views?k=1JP2016150	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP201615020166132123518862.jpg		일본	큐슈	자유여행	비틀	50001645												엔타비				후쿠오카ㅣ규슈ㅣ하카타ㅣ텐진ㅣ유류할증료 변경가능ㅣ성인1인기준요금						후쿠오카ㅣ비틀ㅣ엔타비ㅣ캐널시티ㅣ하카타ㅣ텐진ㅣ왕복승선권ㅣ쾌속선						0			 후쿠오카관광자료 ^ 돈키호테할인쿠폰					I	2018-02-08 16:50:30
1JP2016154 	[비틀_오이타] DREAM 큐슈! 벳부 지옥온천을 한번에 비틀 2박3일 자유여행	283000	283000		http://www.ntabi.kr/Product/Views?k=1JP2016154	http://www.ntabi.kr/Product/Views?k=1JP2016154	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20161542016614174828133.jpg		일본	큐슈	자유여행	비틀	50001645												엔타비				후쿠오카ㅣ규슈ㅣ하카타ㅣ텐진ㅣ유후인ㅣ벳부ㅣ유류할증료 변경가능ㅣ성인1인기준요금						후쿠오카ㅣ비틀ㅣ엔타비ㅣ캐널시티ㅣ하카타ㅣ텐진ㅣ왕복승선권ㅣ쾌속선						0			 후쿠오카관광자료 ^ 돈키호테할인쿠폰					I	2018-02-08 16:50:30
1JP2017545 	[코비★이즈하라 당일치기] 오전출발_오후리턴 / 왕복 승선권	79000	79000		http://www.ntabi.kr/Product/Views?k=1JP2017545	http://www.ntabi.kr/Product/Views?k=1JP2017545	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20175452017822163805310.jpg		일본	큐슈	자유여행	코비	50001645												엔타비				대마도ㅣ이즈하라ㅣ코비호ㅣ최저가 79000원ㅣ유류할증료 변경가능ㅣ성인1인기준요금						대마도ㅣ이즈하라ㅣ코비호ㅣ1시간50분ㅣ티아라쇼핑몰ㅣ						0			 대마도관광자료 ^					I	2018-02-08 16:50:30
1JP2017445 	[비틀☆오전출발-점심리턴] 목적은 면세뿐!!후딱 다녀오자!!	79000	79000		http://www.ntabi.kr/Product/Views?k=1JP2017445	http://www.ntabi.kr/Product/Views?k=1JP2017445	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/1JP20174452018191710451209.jpg		일본	큐슈	자유여행	비틀	50001645												엔타비				대마도ㅣ히타카츠ㅣ비틀ㅣ최저가 70000원ㅣ유류할증료 변경가능ㅣ성인1인기준요금						대마도ㅣ히타카츠ㅣ비틀ㅣ1시간10분ㅣ한국전망대ㅣ미우다해수욕장						0			 대마도관광자료 ^					I	2018-02-08 16:50:30
SJP2017173	[부탁해요 리나상] 일본예약도움서비스	10000	10000		http://www.ntabi.co.kr/Product/agency	http://www.ntabi.co.kr/Product/agency	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/SJP201717320171201610403179.png		일본	오사카	자유여행	일본 예약 서비스 	50001645												엔타비				일본현지 식당수배  | 수배대행서비스 |일어불가라도 걱정없이 예약 | 돈키호테쿠폰 | | 비에이 특산과자 & 병우유 | 한국인 기사 가이드						|오사카|북해도|도교||후쿠오카|일본맛집|오타루스시|스시집|텐푸라|요타로|요타로혼텐|요타로본점|카와타로 						0			 돈키호테쿠폰 ^  지도포함바우처^ 일본어불가라도 수배가능 					I	2018-02-08 17:28:30
2JP201693	[로망스카] 1인 출발 가능 하코네 셀프투어	109000	109000		http://www.ntabi.co.kr/Product/dViews?k=2JP201693	http://www.ntabi.co.kr/Product/dViews?k=2JP201693	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/2JP201693201692712471576.jpg		일본 	도교 	자유여행	도교 하코네 	50001645												엔타비				ㅣ하코네로망스카ㅣ후지산하코네|동경주변데이트코스|하코네후리페스 | 돈키호테쿠폰 | | 자유여행 | 동경주변자유여행 ㅣ하코네						|후지산|하코네|도교||로망스카|하코네유모토|후지산||하코네항|페스| 						0			 돈키호테쿠폰 ^ 하코네프리페스  ^ 토젠다이뷰 레스토랑 한정 식사쿠폰   ^ 					I	2018-02-08 17:28:30
PJP201816	"알짜배기3일투어★(스파월드♨오사카,나라,교토 / USJ 3일/중중)"	399000	399000		http://www.ntabi.co.kr/Product/pView?k=PJP201816	http://www.ntabi.co.kr/Product/pView?k=PJP201816	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/PJP201816201822154431630.jpg		일본	오사카	패키지여행	에어부산	50001645												엔타비				에어부산 | 매월출발 | 스파월드체험 | 면세점할인쿠폰 | 돈키호테할인쿠폰 | 비닐팩  | 여행책자 | 돼지코110V | 샤브샤브특식1회 | 2박3일 | 						에어부산 | 일본스파월드 | 가족여행 | 어린이가족추천 | 추억여행 | 색다른오사카여행 | 유니버셜스튜디오 | 일본패키지여행 | 일본 2박3일 | 맛집 | 						0			에어부산 ^ 매월출발 ^ 스파월드체험 ^ 면세점할인쿠폰 ^ 돈키호테할인쿠폰 ^ 비닐팩 ^ 여행책자 ^ 돼지코110V ^ 샤브샤브특식1회 ^ 2박3일 					I	2018-02-06 14:40:30
PJP2016141	[에어부산 BASIC 패키지] 북큐슈 온천 벳부 후쿠오카 3일	399000	399000		http://www.ntabi.kr/Product/pView?k=PJP2016141	http://www.ntabi.kr/Product/pView?k=PJP2016141	http://toursoft.ntravels.co.kr/ERPWeb/Data/Goods/PJP20161412018271545298777.jpg		일본	큐슈	패키지여행	에어부산	50001645												엔타비				에어부산 | 3월출발 | 큐슈여행 | 가족여행 | 온천여행 | 후쿠오카 | 유후인 | 벳부 | 캐널시티 | 태재부 | 일본패키지여행 | 일본 2박3일 |  						에어부산 | 큐슈여행 | 가족여행 | 온천여행 | 후쿠오카 | 유후인 | 벳부 | 캐널시티 | 태재부 | 일본패키지여행 | 일본 2박3일 |  						0			에어부산 ^  3일 ^  BASIC패키지 ^  한국인 기사 가이드 ^  유후인 ^  벳부 ^  후쿠오카  ^ 가족여행 ^ 온천여행  					I	2018-02-08 18:04:30
